name,brandName,regularPrice,finalPrice
WINSOR & NEWTON Cotman Water Colour Brushes,WINSOR & NEWTON,4.71,4.71
Liquitex Free-Style Detail Brushes,Liquitex,4.51,4.51
Pebeo Fantasy Prisme Effect Paint,Pebeo,4.47,4.47
"Evergreen Scale Models I-Beam 5/32"" (4), EVG275",Evergreen,4.61,4.38
WINSOR & NEWTON Winton Hog Brushes,WINSOR & NEWTON,3.93,3.93
Silver Brush Renaissance Series Brushes Long Handle,Silver Brush,3.72,3.72
WINSOR & NEWTON Cotman Water Colour Brushes,WINSOR & NEWTON,3.69,3.69
Grumbacher Academy Oil Colors,Grumbacher,3.59,3.59
Pebeo Studio Acrylic Paint,Pebeo,3.53,3.53
WINSOR & NEWTON Cotman Water Colour Brushes,WINSOR & NEWTON,3.51,3.51
Rub 'n Buff The Original Wax Metallic Finish,Rub 'n Buff,3.03,3.03
Jack Richeson Powder Tempera Paint,Jack Richeson,2.35,2.35
Princeton Artist Brush Co PRINCETON Catalyst Silicone Tools,Princeton Artist Brush Co,2.22,2.22
Van Gogh Watercolors,Van Gogh,2.18,2.18
Van Gogh Watercolors,Van Gogh,2.18,2.18
RANGER Liquid Pearls Pearlescent Paint,RANGER,1.28,1.28
Dynasty Fm Brush Co Inc BRUSH FAUX SABLE OIL AND ACRYLIC FLATS LONG HANDLE SET OF 72,Dynasty,226.38,141.49
"US Art Supply u.s. art supply 133-piece deluxe ultimate artist painting set with aluminum and wood easels, 72 paint colors, 24 acrylic, 24 ",US Art Supply,152.53,121.99
&#226;&#128;&#142;Lil Daddy Roth lil daddy roth mini pinstriping 3 color lettering enamel kit (official),&#226;&#128;&#142;Lil Daddy Roth,118.41,94.66
"Charles Leonard Inc Charles Leonard LEO40536 Creative Arts Charles Leonard Watercolor Paint Pans, 8 Assorted Colors",Charles Leonard,137.72,63.12
ravensburger creart cozy cabana paint by numbers kit for adults - painting arts and crafts for ages 14 and up,Ravensburger,70.50,56.39
"CRAFTY HAPPITOYS mini canvas and easel set with mini watercolor paint in bulk set of 12 - kids art party favors & party supplies - 4x4"" small ",CRAFTY HAPPITOYS,68.70,54.95
"Handy Art Little Masters Tempera Paint Gallon, Blue",Handy Art,60.95,54.41
"mufun kintsugi repair kit, repair your meaningful pottery with gold powder glue - comes with two practice ceramic cups for st",MuFun,65.09,52.07
"twbb 9 pack diamond painting,diy 5d diamond painting kits for adults & kids,diamond art kits for adults full,12x12 inch",TWBB,63.11,50.49
"uniquilling paper filigree painting quilling kits,panit by numbers for adults - girl with bouquet,handmade diy craft wall dec",uniquilling,63.00,50.40
"shuttle art color change acrylic paint, 20 chameleon colors acrylic paint, 60ml/2oz bottles, iridescent paint for artists, be",Shuttle Art,60.03,47.99
"logaoto diamond painting coasters kit, 8 pcs mandala diamond painting coasters with holder, diamond art crafts for adults & k",logaoto,55.65,44.49
"aiyuanzsh 9 piece diamond painting set, diy 5d diamond painting kit butterfly flowers dreamcatcher picture, full drill crystal art for ",aiyuanzsh,55.65,44.49
"j mark paint kit, 22 piece set acrylic canvas painting kit with wood easel, 8x10 inch canvases, 12 washable paints, 5 brushes",J Mark,53.77,42.99
"CUGEBANNA dry pigments for artist to make paints,oil,watercolor,tempera,acrylic etc.18 colors glass jar packaging,light cadmium yellow ",CUGEBANNA,53.77,42.99
"Fascinations Toys & Gifts set of 4 metal earth 3d laser cut models: 30 rockefeller plaza, empire state building, chrysler building, & one world trade cen",Fascinations Toys & Gifts,52.45,41.93
"Tavolozza Fine Arts tavolozza watercolor paint set, 50 vivid colors including metallic and fluorescent colors in gift box with bonus watercolor p",Tavolozza Fine Arts,50.02,39.99
"veguude diamond painting kits for adults, 4 pack van gogh starry night diamond art kits, 5d full drill diy crafts for adults ",VeGuude,50.02,39.99
"creative nation 6 colors acrylic leather paint for shoes & leather accessories - premium shoe paint kit for sneakers, bags, p",Creative Nation,50.02,39.99
Crafty Dab Paint Poster Paint 10 Pk,Crafty Dab,77.38,39.68
"Crafty Dab Window Writers Paint, Asstd Colors, 48 Ml, 10/Pkg",Crafty Dab,77.38,39.68
Wheels Manufacturing DERAILLEUR Hanger WHMFG#266,Wheels Manufacturing,42.22,38.36
"baisite paint by numbers for adults beginners and kids,16"" wx20 l canvas pictures drawing paintwork with 4 pcs wooden paintbr",BAISITE,46.26,36.99
"Jourbot glow in the darkpigment powder,12 colors resin dye luminous powder for epoxy resin,acrylic paint,slime,nails,halloween party,",Jourbot,46.26,36.99
"ARTISTMART paint palette for acrylic painting, portable paint palette with lid and strap, gouache palette airtight travel paint pallet f",ARTISTMART,46.26,36.99
Sargent Art 222788 Sargent Acrylic- Brown 64 Oz.,Sargent Art,81.37,35.90
Paint by Number mickey's gallery christmas ornaments paint by number,Paint by Number,44.60,35.66
"veguude 4 pack beach diamond painting kits for adults, 5d diamond art kits for beginner,full drill diy crafts for adults home",VeGuude,44.38,35.49
"Anyumocz 10 pack large size plastic art trays,5 colors arts and crafts organizer tray,kids serving tray for diy projects,painting,bead",Anyumocz,44.38,35.49
copic markers copic air can,Copic,43.13,34.49
"timbertech pressure regulator for airbrush compressor, 1/8 npt air filter airbrush regulator with 0-100 psi gauge, water-trap",TimberTech,42.51,33.99
"vodwml diy 5d diamond painting anime by number kits full drills for adults, cross stitch crystal rhinestone embroidery pictures arts",vodwml,42.48,33.97
"offito mushroom diy paint by number for adults beginner, paint by numbers for kids, oil painting acrylic paint set, easy to c",Offito,44.31,35.43
beaudio religious faith series diamond painting kits for adults- jesus christ - diy round full drill 5d diamond art for home ,Beaudio,42.32,33.84
"fviexe 8pcs paint sponge applicator, round painting sponge double side circular detail paint sponges for painting crafts kitc",fviexe,40.63,32.49
kyoqfvn 4 pack diy paint by numbers for kids ages 4-8 - paint by number for kids beginners easy acrylic paint numbers canvas arts age,kyoqfvn,40.63,32.49
"luomeng 44pcs 5d diamond painting accessories,diamond art accessories and tools for adults or kids,diamond painting kits with 546 sti",luomeng,40.63,32.49
"umr-design step by step airbrush stencil template as-115 m ca. 5,11"" x 3,95""",UMR-Design,40.45,32.35
Badger Air Brush badger air-brush 50-200 airbrush regulator-,Badger Air Brush,39.65,31.71
slody paint by number for adults diy flowers oil numbers painting on canvas sunflower acrylic drawing paintwork art crafts wi,Slody,38.75,30.99
"Royal Brush Mfg INC Royal Brush Big Kids Choice Round Paint Brush, Size 2, Pack of 12",Royal Brush,47.97,29.98
PigPigBoss snowman full diamond painting kits - pigpigboss 2 pack 5d diy diamond painting by numbers for adults and kids blackboard pain,PigPigBoss,36.87,29.49
"motbach 12 pcs diamond painting tool plastic bead sorting tray, extra large size diamond rhinestone plate tray, diamond paint",motbach,36.25,28.99
"sxsjeiou diy anime diamond painting kits for adults, demon slayer 5d diamond art kit full drill round for crafts wall decor (12"" x 16""",sxsjeiou,36.25,28.99
"Princeton Artist Brush Co Princeton Brush Glacier Short Handle Watercolor & Acrylic Brush, Angular Wash, 3/4""",Princeton Artist Brush Co,46.37,28.98
dvbqqwe diamond painting kits for adults diy anime demon slayer diamond art 5d paint with diamonds full drill gem art cross s,DVBQQWE,36.05,28.83
DVBQQWE full drill eeyore diamond painting kits for adults 5d diamond art paint with diamonds diy painting kit paint by number with g,DVBQQWE,36.05,28.83
"Barn Star christmas nativity scene stencil for painting wood signs, reusable, sturdy",Barn Star,35.63,28.50
"toynk paint your own 7-inch wooden nutcracker figure craft kit, set of 2 | holiday christmas decoration for indoor winter table des",toynk,35.62,28.49
ktclcatf 56pcs diy diamond painting tools and accessories kits multiple sizes painting pens for adults to make diamond art craft tweez,ktclcatf,34.49,27.59
"VGSEBA acrylic paint metallic gold, non toxic, non fading, 100ml gold leaf paint for art, painting, handcrafts, ideal for canvas woo",VGSEBA,33.62,26.89
"bestact diamond painting kits,diamond art kit for adults full round drill,paint with diamond for gift,wall decor",bestact,32.73,26.18
"mr. pen- wooden paint palette, 2 pack, artist palette, painting palette, oil paint palette, wood paint palette, art pallet fo",Mr. Pen,32.65,26.12
"brusarth paint brushes set, 14 pcs artist brush for acrylic oil watercolor gouache artist professional painting kits with syn",Brusarth,33.62,26.89
"Grumbacher Golden Edge Acrylic Brush, Bright, 10",Grumbacher,34.85,24.89
